#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T01:22+0000 #
#####################################################################
#
# seed = 50.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
204.0 4.400000000000002 9404.0 64499.0 3419.0 3950.0 10118.0
205.0 4.525000000000002 9482.0 65035.0 3419.0 4031.0 10199.0
206.0 4.549999999999996 9559.0 65577.0 3419.0 4120.0 10288.0
207.0 4.575000000000004 9614.0 65965.0 3419.0 4186.0 10354.0
208.0 4.599999999999998 9633.0 66092.0 3419.0 4211.0 10379.0
209.0 4.674999999999996 9657.0 66249.0 3419.0 4240.0 10408.0
210.0 4.799999999999997 9692.0 66493.0 3419.0 4278.0 10446.0
211.0 5.049999999999998 9742.0 66848.0 3419.0 4333.0 10501.0
212.0 5.3999999999999995 9815.0 67365.0 3419.0 4412.0 10580.0
213.0 5.649999999999999 9908.0 68029.0 3419.0 4515.0 10683.0
214.0 5.725000000000001 10027.0 68890.0 3419.0 4645.0 10813.0
215.0 5.625 10165.0 69836.0 3419.0 4791.0 10959.0
216.0 5.5 10305.0 70823.0 3419.0 4922.0 11103.0
217.0 5.274999999999999 10449.0 71801.0 3419.0 5033.0 11249.0
218.0 5.0 10585.0 72738.0 3419.0 5100.0 11385.0
219.0 4.6 10716.0 73638.0 3419.0 5124.0 11516.0
220.0 4.3250000000000055 10851.0 74584.0 3419.0 5128.0 11657.0
221.0 4.125 10986.0 75545.0 3419.0 5128.0 11806.0
222.0 3.9749999999999948 11117.0 76455.0 3419.0 5128.0 11954.0
223.0 3.849999999999993 11242.0 77335.0 3419.0 5128.0 12091.0
224.0 3.7750000000000083 11367.0 78194.0 3419.0 5128.0 12233.0
225.0 3.5750000000000077 11499.0 79115.0 3419.0 5128.0 12378.0
226.0 3.2750000000000083 11646.0 80146.0 3419.0 5128.0 12539.0
227.0 2.950000000000007 11807.0 81288.0 3419.0 5128.0 12709.0
228.0 2.625 11992.0 82578.0 3419.0 5128.0 12906.0
229.0 2.149999999999997 12191.0 83982.0 3419.0 5128.0 13117.0
230.0 1.8250000000000004 12406.0 85427.0 3419.0 5128.0 13344.0
231.0 1.649999999999998 12614.0 86864.0 3419.0 5128.0 13565.0
232.0 1.5500000000000016 12809.0 88194.0 3419.0 5128.0 13774.0
233.0 1.4250000000000014 12988.0 89379.0 3419.0 5128.0 13969.0
234.0 1.2750000000000008 13143.0 90409.0 3419.0 5128.0 14133.0
235.0 1.0999999999999999 13281.0 91353.0 3419.0 5128.0 14285.0
236.0 0.9499999999999997 13404.0 92209.0 3419.0 5128.0 14421.0
237.0 0.9250000000000008 13512.0 92964.0 3419.0 5128.0 14537.0
238.0 0.9000000000000012 13613.0 93643.0 3419.0 5128.0 14644.0
239.0 0.9000000000000012 13702.0 94264.0 3419.0 5128.0 14740.0
240.0 0.9000000000000012 13770.0 94716.0 3419.0 5128.0 14809.0
241.0 0.9000000000000012 13811.0 94995.0 3419.0 5128.0 14850.0
242.0 0.9000000000000012 13850.0 95247.0 3419.0 5128.0 14889.0
243.0 0.9000000000000012 13863.0 95322.0 3419.0 5128.0 14902.0
244.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
245.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
246.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
247.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
248.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
249.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
250.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
251.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
252.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
253.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
254.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
255.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
256.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
257.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
258.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
259.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
260.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
261.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
262.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
263.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
264.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
265.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
266.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
267.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
268.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
269.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
270.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
271.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
272.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
273.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
274.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
275.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
276.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
277.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
278.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
279.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
280.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
281.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
282.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
283.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
284.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
285.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
286.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
287.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
288.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
289.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
290.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
291.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
292.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
293.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
294.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
295.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
296.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
297.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
298.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
299.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
300.0 0.9000000000000012 13867.0 95342.0 3419.0 5128.0 14906.0
#####################################################################
# End of data export. Simulation finished at: 2023-05-22T02:12+0000 #
#####################################################################
